gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
896307451	http://arctosdb.org/home/data/			https://creativecommons.org/licenses/by-nc-sa/3.0	2025-08-08 01:56:00.055973					MLZ	https://arctos.database.museum/collection/MLZ:Mamm		MLZ	Mammalogy			PreservedSpecimen			"[{""attribute_date"": ""1937-05-22"", ""attribute_type"": ""sex"", ""attribute_units"": null, ""attribute_value"": ""male"", ""attribute_method"": null, ""attribute_remark"": null, ""attribute_determiner"": ""Chester C. Lamb""}]"	https://arctos.database.museum/guid/MLZ:Mamm:951	MLZ:Mamm:951	24123	Collector(s): Chester C. Lamb					male							wild				skin; skull							collector number 24123 | Moore Laboratory of Zoology identifier M-U'350	FLAT SKIN AND SKULL					"[{""idby"": ""Chester C. Lamb"", ""made_date"": null, ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Lutra longicaudis"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Chordata, Mammalia, Carnivora, Caniformia, Mustelidae, Lutrinae, Lutra, Lutra longicaudis"", ""name"": ""Lutra longicaudis"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Chordata""}, {""psn"": 3, ""typ"": ""class"", ""term"": ""Mammalia""}, {""psn"": 4, ""typ"": ""order"", ""term"": ""Carnivora""}, {""psn"": 5, ""typ"": ""suborder"", ""term"": ""Caniformia""}, {""psn"": 6, ""typ"": ""family"", ""term"": ""Mustelidae""}, {""psn"": 7, ""typ"": ""subfamily"", ""term"": ""Lutrinae""}, {""psn"": 8, ""typ"": ""genus"", ""term"": ""Lutra""}, {""psn"": 9, ""typ"": ""species"", ""term"": ""Lutra longicaudis""}], ""nctrms"": [{""typ"": ""display_name"", ""term"": ""<i>Lutra longicaudis</i>""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""scientific_name"", ""term"": ""Lutra longicaudis""}, {""typ"": ""source_authority"", ""term"": ""Museum of Southwestern Biology""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""Arctos"", ""classification_id"": ""https://arctos.database.museum/name/Lutra longicaudis#Arctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Lutra longicaudis"", ""variable"": ""A""}], ""identification_order"": 1, ""identification_agents"": [{""agent_name"": ""Chester C. Lamb"", ""agent_identifier"": ""https://arctos.database.museum/agent/10001363"", ""identifier_order"": 1}], ""identification_remarks"": ""Former nature_of_id: legacy."", ""identification_attributes"": null}]"										1937-05-22/1937-05-22	1937-05-22			1937	05	22	22 MAY 1937										Mexico, Chihuahua					Mexico		Chihuahua			E slope Cerro Mohinora, near Guadalupe y Calvo, Imperial Valley	MT MOHINORA: E SIDE	2438	3139								unknown		25.932421	-106.998425	World Geodetic System 1984	3836											unknown	2012-07-08 00:00:00	GeoLocate	GeoLocate																								Chester C. Lamb					Former nature_of_id: legacy.									Lutra longicaudis							Animalia, Chordata, Mammalia, Carnivora, Caniformia, Mustelidae, Lutrinae, Lutra, Lutra longicaudis	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lutra							species							
891774917				https://creativecommons.org/licenses/by/4.0/	2025-07-31T04:10:19Z		https://www.inaturalist.org/observations/482969	Luis Morales					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://conabio.inaturalist.org/observations/482969	482969		Luis Morales																																							2013-12-12							2013-12-12																MX	Nayarit				San Francisco (San Pancho) Nayarit												20.899771	-105.416243	EPSG:4326	124																																		673990489				Luis Morales		2025-07-31T03:49:05Z				1596108								Lontra annectens								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							species							
891773802				https://creativecommons.org/licenses/by/4.0/	2025-07-31T03:56:13Z		https://www.inaturalist.org/observations/480716	Luis Morales					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://conabio.inaturalist.org/observations/480716	480716		Luis Morales																								Un ejemplar visto alimentándose y muy curioso. Se acercó bastante a la orilla del estero a observar a un grupo que estabamos observando aves.															2013-12-12							2013-12-12																MX	Nayarit				Nayarit, MX												20.900598	-105.41612	EPSG:4326																																			673990481				Luis Morales		2025-07-31T03:49:04Z				1596108								Lontra annectens								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							species							
891734815				https://creativecommons.org/licenses/by-nc/4.0/	2025-07-31T03:56:01Z		https://www.inaturalist.org/observations/384045	Andrea Cantú					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://conabio.inaturalist.org/observations/384045	384045		Andrea Cantú																																							2012-09-14							2012-09-14																MX	Veracruz				minatitlan, veracruz												17.988963	-94.54697	EPSG:4326	6448																																		673990462				Juan Cruzado Cortés		2025-07-31T03:49:01Z				1596108								Lontra annectens								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							species							
891028599				https://creativecommons.org/licenses/by-nc/4.0/	2025-07-31T03:55:50Z		https://www.inaturalist.org/observations/424295	Biodiverso					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 30472m at the request of the observer			http://conabio.inaturalist.org/observations/424295	424295		Biodiverso																																							2013-06-24							2013-06-24																MX	Jalisco				Jalisco, MX												20.4071435753	-103.8987077757	EPSG:4326	30472																																		673990061				Biodiverso		2025-07-31T03:47:43Z				1596108								Lontra annectens								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra							species							
859472799	http://www.vertnet.org/resources/norms.html		en	http://creativecommons.org/publicdomain/zero/1.0	2013-08-07				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PreservedSpecimen				urn:catalog:AMNH:Mammals:M-25050	M-25050		J. H. Batty		1			unknown						native				present																								1904-01-01		2	2	1904	1	1	1904-01-01										North America;Mexico;Sinaloa;;;;;	North America				Mexico	MX	Sinaloa				North America; Mexico; Sinaloa; ; ; ; ; ; ; ;																																																																			Lontra longicaudis annectens							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra				longicaudis	annectens		subspecies				ICZN			
859357979	http://www.vertnet.org/resources/norms.html		en	http://creativecommons.org/publicdomain/zero/1.0	2013-08-07				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PreservedSpecimen				urn:catalog:AMNH:Mammals:MO-6678	MO-6678				1			male						native				present	Skull, Cranium and Mandible, Not Mounted																							1893-11				1893	11		1893-11-										North America;Mexico;Jalisco;Mascota;;;;	North America				Mexico		Jalisco	Mascota		Mineral San Sebastian	North America; Mexico; Jalisco; Mascota; ; ; ; ; ; ; North America; Mexico; Jalisco; Mascota; ; ; ; ; ; ; Mineral San Sebastian																																																																			Lontra longicaudis annectens							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra				longicaudis	annectens		subspecies				ICZN			
859356254	http://www.vertnet.org/resources/norms.html		en	http://creativecommons.org/publicdomain/zero/1.0	2013-08-07				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PreservedSpecimen				urn:catalog:AMNH:Mammals:MO-6274	MO-6274				1			female						native				present	Skin, Skull, Whole Skin, Cranium and Mandible, Round Skin, Not Mounted							Skin Number: Osteo Catalog 7930																1892-09-04		248	248	1892	9	4	1892-09-04										North America;Mexico;Jalisco;Guadalajara;;;;	North America				Mexico		Jalisco	Guadalajara		Hacienda Artequiza	North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; Hacienda Artequiza																																																																			Lontra longicaudis annectens							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra				longicaudis	annectens		subspecies				ICZN			
859322277	http://www.vertnet.org/resources/norms.html		en	http://creativecommons.org/publicdomain/zero/1.0	2013-08-07				PhysicalObject	urn:lsid:biocol.org:col:34925			AMNH	Mammals			PreservedSpecimen				urn:catalog:AMNH:Mammals:MS-7930	MS-7930		A. C. Buller		1			unknown						native				present	Not Mounted							Osteo: Skin Catalog 6274																1893-09-04		247	247	1893	9	4	1893-09-04										North America;Mexico;Jalisco;Guadalajara;;;;	North America				Mexico		Jalisco	Guadalajara		Hacienda Artequiza	North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; North America; Mexico; Jalisco; Guadalajara; ; ; ; ; ; ; Hacienda Artequiza																																																																			Lontra longicaudis annectens							Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Lontra	Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra				longicaudis	annectens		subspecies				ICZN			
686440634	http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms			http://creativecommons.org/licenses/by/4.0/deed.en_US	2010-01-14 10:30:33					http://grbio.org/cool/iakn-125z			KU	KUM	University of Kansas Biodiversity Institute Mammalogy Collection		PreservedSpecimen				8df64394-1ed8-11e3-bfac-90b11c41863e	111978		CLIFTON P L					UN											Skin Complete; false;  Skull Complete; false																							1967-04-20				1967	4	20												North America				MEXICO		JALISCO			PIHUAMO, 20 MI S, 5 MI W OF													18.96163	-103.45576	NAD27							decimal degrees					Slade, Norman	2008-12-11		Google Earth																																						Lontra longicaudis annectens								Animalia	Chordata	Mammalia	Carnivora		Mustelidae				Lontra				longicaudis	annectens									
